GEO,quarter,VALUE
Nunavut,2011-Q1,5897
Nunavut,2011-Q2,6298
Nunavut,2011-Q3,6386
Nunavut,2011-Q4,6235
Nunavut,2012-Q1,6230
Nunavut,2012-Q2,6671
Nunavut,2012-Q3,6767
Nunavut,2012-Q4,6417
Nunavut,2013-Q1,6001
Nunavut,2013-Q2,6537
Nunavut,2013-Q3,9976
Nunavut,2013-Q4,6345
Nunavut,2014-Q1,7068
Nunavut,2014-Q2,6206
Nunavut,2014-Q3,7413
Nunavut,2014-Q4,4672
Nunavut,2015-Q1,3609
Nunavut,2015-Q2,3649
Nunavut,2015-Q3,897
Nunavut,2015-Q4,4574
Nunavut,2016-Q1,8782
Nunavut,2016-Q2,6513
Nunavut,2016-Q3,8353
Nunavut,2016-Q4,6619
Nunavut,2017-Q1,6461
Nunavut,2017-Q2,5720
Nunavut,2017-Q3,5738
Nunavut,2017-Q4,6277
Nunavut,2018-Q1,6860
Nunavut,2018-Q2,9667
Nunavut,2018-Q3,10749
Nunavut,2018-Q4,8232
Nunavut,2019-Q1,9772
Nunavut,2019-Q2,10258
Nunavut,2019-Q3,18268
Nunavut,2019-Q4,9841
Nunavut,2020-Q1,2437
Nunavut,2020-Q2,863
Nunavut,2020-Q3,455
Nunavut,2020-Q4,441
Nunavut,2021-Q1,734
Nunavut,2021-Q2,1237
Nunavut,2021-Q3,2087
Nunavut,2021-Q4,2484
Nunavut,2022-Q1,4121
Nunavut,2022-Q2,5328
Nunavut,2022-Q3,8350
Nunavut,2022-Q4,8433
Nunavut,2023-Q1,7054
Nunavut,2023-Q2,9266
Nunavut,2023-Q3,17942
Nunavut,2023-Q4,7688
Nunavut,2024-Q1,10023
Nunavut,2024-Q2,2296
Ontario,2010-Q1,71592924
Ontario,2010-Q2,71776514
Ontario,2010-Q3,73613312
Ontario,2010-Q4,75988612
Ontario,2011-Q1,75055071
Ontario,2011-Q2,77598149
Ontario,2011-Q3,77694427
Ontario,2011-Q4,77274103
Ontario,2012-Q1,80536851
Ontario,2012-Q2,78678875
Ontario,2012-Q3,79410266
Ontario,2012-Q4,78820298
Ontario,2013-Q1,80213191
Ontario,2013-Q2,78276075
Ontario,2013-Q3,77641510
Ontario,2013-Q4,78086059
Ontario,2014-Q1,76054108
Ontario,2014-Q2,77796951
Ontario,2014-Q3,77063250
Ontario,2014-Q4,77040436
Ontario,2015-Q1,74130953
Ontario,2015-Q2,74743107
Ontario,2015-Q3,74005147
Ontario,2015-Q4,72440583
Ontario,2016-Q1,73144572
Ontario,2016-Q2,74728839
Ontario,2016-Q3,76228610
Ontario,2016-Q4,75435698
Ontario,2017-Q1,77397914
Ontario,2017-Q2,76416276
Ontario,2017-Q3,78303256
Ontario,2017-Q4,78584108
Ontario,2018-Q1,79290723
Ontario,2018-Q2,77343845
Ontario,2018-Q3,76297213
Ontario,2018-Q4,77817469
Ontario,2019-Q1,78049001
Ontario,2019-Q2,78813900
Ontario,2019-Q3,78948358
Ontario,2019-Q4,80356359
Ontario,2020-Q1,59769649
Ontario,2020-Q2,4944154
Ontario,2020-Q3,6812234
Ontario,2020-Q4,8634215
Ontario,2021-Q1,8484231
Ontario,2021-Q2,8418263
Ontario,2021-Q3,14418121
Ontario,2021-Q4,25353796
Ontario,2022-Q1,24131954
Ontario,2022-Q2,45895938
Ontario,2022-Q3,51698158
Ontario,2022-Q4,57503101
Ontario,2023-Q1,63429182
Ontario,2023-Q2,64297396
Ontario,2023-Q3,65518185
Ontario,2023-Q4,67856251
Ontario,2024-Q1,70001658
Ontario,2024-Q2,24676603
Prince Edward Island,2010-Q1,1870
Prince Edward Island,2010-Q2,5284
Prince Edward Island,2010-Q3,15642
Prince Edward Island,2010-Q4,1152
Prince Edward Island,2011-Q1,562
Prince Edward Island,2011-Q2,781
Prince Edward Island,2011-Q3,17501
Prince Edward Island,2011-Q4,824
Prince Edward Island,2012-Q1,1450
Prince Edward Island,2012-Q2,5443
Prince Edward Island,2012-Q3,17644
Prince Edward Island,2012-Q4,29889
Prince Edward Island,2013-Q1,7983
Prince Edward Island,2013-Q2,4170
Prince Edward Island,2013-Q3,20379
Prince Edward Island,2013-Q4,2388
Prince Edward Island,2014-Q1,4984
Prince Edward Island,2014-Q2,5145
Prince Edward Island,2014-Q3,23857
Prince Edward Island,2014-Q4,15640
Prince Edward Island,2015-Q1,5020
Prince Edward Island,2015-Q2,6222
Prince Edward Island,2015-Q3,4639
Prince Edward Island,2015-Q4,3803
Prince Edward Island,2016-Q1,11789
Prince Edward Island,2016-Q2,11665
Prince Edward Island,2016-Q3,45025
Prince Edward Island,2016-Q4,5318
Prince Edward Island,2017-Q1,13286
Prince Edward Island,2017-Q2,6714
Prince Edward Island,2017-Q3,21908
Prince Edward Island,2017-Q4,20113
Prince Edward Island,2018-Q1,6933
Prince Edward Island,2018-Q2,4390
Prince Edward Island,2018-Q3,6162
Prince Edward Island,2018-Q4,4506
Prince Edward Island,2019-Q1,4634
Prince Edward Island,2019-Q2,5123
Prince Edward Island,2019-Q3,5992
Prince Edward Island,2019-Q4,4545
Prince Edward Island,2020-Q1,6622
Prince Edward Island,2020-Q2,91
Prince Edward Island,2020-Q3,98
Prince Edward Island,2020-Q4,271
Prince Edward Island,2021-Q1,188
Prince Edward Island,2021-Q2,35
Prince Edward Island,2021-Q3,28
Prince Edward Island,2021-Q4,236
Prince Edward Island,2022-Q1,79
Prince Edward Island,2022-Q2,3244
Prince Edward Island,2022-Q3,41618
Prince Edward Island,2022-Q4,32199
Prince Edward Island,2023-Q1,147
Prince Edward Island,2023-Q2,696
Prince Edward Island,2023-Q3,21136
Prince Edward Island,2023-Q4,48746
Prince Edward Island,2024-Q1,196
Prince Edward Island,2024-Q2,154
Quebec,2010-Q1,17658902
Quebec,2010-Q2,18257718
Quebec,2010-Q3,18411028
Quebec,2010-Q4,18542272
Quebec,2011-Q1,19010301
Quebec,2011-Q2,19126423
Quebec,2011-Q3,19239475
Quebec,2011-Q4,19248278
Quebec,2012-Q1,19968233
Quebec,2012-Q2,19842580
Quebec,2012-Q3,19641294
Quebec,2012-Q4,19740266
Quebec,2013-Q1,20378881
Quebec,2013-Q2,20278704
Quebec,2013-Q3,20419655
Quebec,2013-Q4,20554385
Quebec,2014-Q1,20256261
Quebec,2014-Q2,20700728
Quebec,2014-Q3,20227144
Quebec,2014-Q4,20316225
Quebec,2015-Q1,19589276
Quebec,2015-Q2,20240702
Quebec,2015-Q3,19873991
Quebec,2015-Q4,19638008
Quebec,2016-Q1,19631323
Quebec,2016-Q2,19428923
Quebec,2016-Q3,19904391
Quebec,2016-Q4,19580806
Quebec,2017-Q1,20348593
Quebec,2017-Q2,20019738
Quebec,2017-Q3,20656832
Quebec,2017-Q4,20802164
Quebec,2018-Q1,20808308
